Name,eelgrass_lai,nitraterange,tempmean,temprange,curveloc,nitratemean,salinityrange,salinitymean,dissoxmean,dissoxrange
lyall2,0.4818656,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
lyall3,0.4630528,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
lyall4,0.441264,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
lyall5,0.6232128,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
lyall6,1.2112704,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
ra1,0.2373696,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
ra2,0.78456,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
ra3,1.3799424,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
ra4,0.744,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
ra5,0.7047936,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
ra6,0.9794304,5.984659195,6.254828453,1.762075901,0.138219967,29.15597343,0.131961823,33.88900375,119.250145,37.63332367
robbers1,0.238544,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
robbers2,0.7595344,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
robbers3,0.38992512,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
robbers4,0.2730304,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
robbers5,0.27476352,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
robbers6,0.42118848,8.073072433,8.217315674,2.252251625,0.10413944,19.05110931,0.45368576,33.78429413,74.74279785,50.29289246
sarita1,0.2842176,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sarita2,0.176816,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sarita3,0.2963296,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sarita4,0.4600336,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sarita5,0.4872416,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sarita6,0.148784,9.007294655,8.006854057,1.625384688,0.109559476,20.91374016,0.167858124,33.91445923,69.1730423,52.49980545
sidney1,0.8864832,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
sidney2,0.3341664,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
sidney3,0.4964096,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
sidney4,0.464192,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
sidney5,0.783936,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
sidney6,1.1074752,5.333000183,7.569218159,1.838451266,0.097195998,28.73975372,0.109863281,33.96181488,94.1701889,37.38215637
innerchoked1,0.1371328,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
innerchoked2,0.345544,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
innerchoked3,0.2820352,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
innerchoked4,0.3906624,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
innerchoked5,0.3376128,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
innerchoked6,0.30556224,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit1,0.45045504,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit2,0.3935808,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit3,0.53865216,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit4,0.4405248,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit5,0.7773744,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
sandspit6,0.8146368,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,121.7068024,115.3081894
triquetn1,0.2368576,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetn2,0.160576,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetn3,0.32994752,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetn4,0.063104,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetn5,0.546048,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetn6,0.1519104,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay1,0.4637952,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay2,0.4995584,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay3,0.28992,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay4,0.824064,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay5,0.637056,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
triquetbay6,0.9334784,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,103.7878418,61.15460968
