site,quadrat,identifier,date_collected,class,order,suborder,family,genus,final_id,total_length_mm,notes,photo,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Isaeidae,Photis,Photis,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Isopoda,Asellota,Munnidae,,Munnidae,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,2,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Nereididae,,Nereididae,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,8,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Isopoda,Asellota,Munnidae,,Munnidae,1,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Nudibranchia,,,,Nudibranchia,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,9,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,2,,,
Triquet N,8,Tanya,29-Jun-17,Hexanauplia,Sessilia,,,,Sessilia,0.5,cyprid,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Ampithoidae,,Ampithoidae,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,9,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,6,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Eusiroidea,Pontogeneia,Pontogeneia,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,8,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Syllidae,,Syllidae,0.6,,TNEyes,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,6,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Ischyroceridae,,Ischyroceridae,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Isopoda,Asellota,Munnidae,,Munnidae,0.6,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,4,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Isaeidae,Photis,Photis,2,,,
Triquet N,8,Tanya,29-Jun-17,,,,,,eggs,,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,4,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Tanaidacea,,Leptocheliidae,Leptochelia,Leptochelia,2,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,2,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Syllidae,,Syllidae,0.4,,CI5Poly,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Nereididae,,Nereididae,1.5,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,4,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,8,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Nereididae,,Nereididae,1,,,
Triquet N,8,Tanya,29-Jun-17,,,,,,eggs,,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Ischyroceridae,Ischyrocerus,Ischyrocerus anguipes,2,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Syllidae,,Syllidae,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella californica,17,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,,,Gammaridea,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella,1,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,,,Harpacticoida,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Copepoda,Harpacticoida,,Porcellidiidae,Porcellidium,Porcellidium,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,,Caprellidae,Caprella,Caprella laeviuscula,3,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Amphipoda,Gammaridea,Ischyroceridae,,Ischyroceridae,2,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Neogastropoda,,Columbellidae,Amphissa,Amphissa,2,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Foraminifera,,,,,Foraminifera,0.5,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Neogastropoda,,Columbellidae,Amphissa,Amphissa,2,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,2,,,
Triquet N,8,Tanya,29-Jun-17,Bivalvia,Mytilida,,Mytilidae,,Mytilidae,1,,,
Triquet N,8,Tanya,29-Jun-17,Malacostraca,Isopoda,Asellota,Munnidae,,Munnidae,1,,,
Triquet N,8,Tanya,29-Jun-17,Polychaeta,Phyllodocida,,Nereididae,,Nereididae,0.7,,,
Triquet N,8,Tanya,29-Jun-17,Gastropoda,Littorinimorpha,,Littorinidae,Lacuna,Lacuna,1,,,
