Alia carinata,Alvania compacta,Amphissa columbiana,Crepidula sp,Euspira lewisii,Harmothoe imbricata,Lacuna sp,Lirularia parcipincta,Lirularia sp,Littorina sp,Margarites pupillus,Lottia sp,Clinocardium nuttallii,Mytilus sp,Saxidomus giganteaus,Unknown clam 1,Unknown clam 2,Dorvillea longicornis,Exogone sp,Glycerinde armigera,Lepidonotus squamatus,Neoamphitrite robusta,Unknown oenonid polychaete,Unknown opheliid polychaete,Spirorbis sp,Nereis sp,Ampithoe dalli,Ampithoe lacertosa,Ampithoe valida,Aoroides columbiae,Ceradocus spinicauda,Grandidierella japonica,Ischyocerus anguipes,Jassa marmorata,Monocorophium insidiosum,Orchomenella recondita,Photis brevipes,Pontogeneia rostrata,Unknown hyalidae gammarid,Unknown isaeidae gammarid,Unknown Ischyoceridae gammarid,Caprella californica,Caprella laeviuscula,Caprella natalensis,Cumella vulgaris,Leptochelia sp,Nebalia gerkinae,Porcellidium sp,Harpacticoid1,Harpacticoid2,Harpacticoid3,Anoplodactylus viridintestinalis,Idotea montereyensis,Idotea resecata,Munna sp,Pugettia producta,Pugettia richii,Hippolyte californiensis
5,0,2,0,0,0,9,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,22,2,0,0,0,2,3,0,2,78,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,9,11,0,0,73,0,0,0,0,0,0,0,0,0,0,1,0
0,21,2,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,2,0,0,7,0,6,0,0,0,0,21,0,0,0,3,0,0,41,56,0,0,0,9,0,0,0,0
0,9,0,0,0,0,52,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,3,0,8,16,0,0,0,71,0,0,1,2,0,10,1,64,0,1,0,21,1,1,0,0
0,5,12,0,3,0,37,0,0,0,0,0,8,25,0,0,0,0,0,0,0,0,0,0,0,5,10,0,7,0,0,0,0,0,7,0,6,3,0,0,0,30,0,0,1,26,0,5,53,80,0,0,0,10,0,2,0,0
0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,3,0,0,3,2,0,0,3,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,3,23,0,1,0,4,0,0,0,0
0,9,0,0,0,0,54,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,3,0,8,18,0,0,2,69,0,0,1,2,0,10,33,3,0,0,0,19,1,1,0,0
0,39,0,0,5,0,7,0,19,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,70,0,107,16,0,0,0,94,0,0,0,377,0,0,44,23,0,5,2,0,5,0,0,0
0,85,5,0,33,0,16,0,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,122,0,1,32,0,0,0,1,0,0,1,344,0,0,52,22,3,0,12,0,0,0,0,0
0,117,8,0,24,0,20,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,137,0,7,25,0,0,0,4,0,0,0,464,0,0,56,8,7,0,9,0,1,0,0,0
0,9,9,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,0,0,0,0,0,0,73,0,0,45,0,0,0,2,0,0,0,432,0,0,151,85,2,0,7,0,0,2,0,0
0,97,5,0,9,0,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,122,0,0,25,0,0,0,3,0,0,4,150,0,0,13,32,0,0,38,0,0,0,0,3
0,148,0,0,59,0,44,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,114,0,3,78,0,0,0,2,0,0,2,233,0,0,70,44,2,1,10,0,0,1,0,2
0,0,0,0,0,0,137,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,90,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,149,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,112,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,3,102,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,83,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,66,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,97,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,257,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,66,0,0,1,192,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
0,1,0,0,0,0,120,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0
0,53,3,0,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
0,102,2,0,0,0,74,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
0,1,0,0,0,0,7,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,41,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,27,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,2,1,0,0,0,57,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,6,0,0,5,0,43,0,0,0,0,0,13,9,0,0,0,0,0,2,0,0,0,0,0,10,13,0,8,0,0,0,0,0,29,0,0,8,0,0,0,3,0,0,0,43,0,0,154,109,0,0,0,3,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,44,0,0,62,74,0,0,0,1,0,0,0,0
0,0,0,0,1,0,19,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,36,0,0,0,0,0,0,2,0,0,3,87,0,0,91,37,0,0,0,0,0,0,0,0
0,1,0,0,0,0,19,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,51,0,1,33,28,0,5,0,2,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,23,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,51,0,0,0,0,0,0,1,0,0,1,141,0,0,163,148,1,3,0,0,0,0,0,0
2,15,0,0,0,0,14,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
2,365,2,0,0,0,131,0,34,1,0,6,6,13,8,1,0,0,0,0,0,0,0,0,0,41,0,0,5,508,0,0,0,0,0,0,0,9,0,0,0,0,61,0,0,1,3,11,97,0,0,0,0,4,8,0,0,9
1,89,1,0,0,0,23,0,3,4,0,7,3,81,7,3,0,0,0,0,0,0,0,0,0,15,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,7,2,0,0,0,0,0,2,1,0,0,1
0,66,0,0,0,0,24,0,6,0,0,0,2,18,5,5,0,0,0,0,0,0,0,0,0,8,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,4,25,1,8,0,0,0,0,0,0,0,0,3
4,212,0,0,0,0,30,0,5,0,0,10,3,154,2,2,0,0,0,0,0,0,0,0,0,9,0,0,0,288,0,0,0,0,0,0,0,2,0,0,0,0,35,0,0,4,6,1,0,0,0,0,0,0,1,0,0,1
5,89,11,0,0,0,35,0,8,5,0,5,2,45,0,2,0,0,0,0,0,0,0,0,0,14,0,0,2,199,0,0,0,0,0,0,0,2,0,0,0,0,29,0,0,1,1,5,5,0,0,0,0,0,1,0,0,4
0,10,9,0,0,0,57,0,0,0,0,1,1,20,3,0,0,0,0,0,0,0,0,0,0,188,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,1,44,0,0,0,0,0,0,0,0,3
0,1,0,0,0,0,22,0,0,0,0,0,2,9,4,0,0,0,0,0,0,0,0,0,19,110,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,5,81,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1
0,9,1,0,0,0,56,0,0,0,0,4,7,45,15,0,0,0,0,0,0,0,0,0,17,219,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,5,47,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,28,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,291,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,360,0,0,0,52,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,4,0,0,5,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,30,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,35,49,0,0,15,0,15,47,54,0,0,0,0,0,0,0,0
0,2,0,0,0,0,10,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,7,78,0,0,12,0,18,5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,16,0,0,11,0,17,17,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,1,0,61,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1,0,0,0,0,0,0,0,7,0,0,1,22,70,0,0,6,0,56,58,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,8,0,0,0,0,0,0,4,0,0,2,0,3,9,13,0,14,0,0,0,0,0,0,0,0,0,0,2,0
8,59,0,4,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,4,1,0,0,120,40,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,7,18,52,0,4,0,0,0,0,0,0,0,0,7,0,1,0
11,1,0,1,0,0,5,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,9,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,22,19,0,164,0,0,0,0,0,0,0,0,0,0,3,0
9,3,0,2,0,0,3,0,1,0,0,0,5,4,0,0,0,0,0,0,2,3,0,0,252,18,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,6,41,64,1,8,0,0,0,0,0,0,0,0,2,0,0,0
1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,0,0,0,1,0,0,0,1,0,0,44,2,0,2,0,0,0,0,0,0,0,0,22,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,30,0,6,2,0,0,2,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,8,0,2,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,0,0,0,0,77,1,0,1,0,0,0,0,0,0,1,0,13,9,0,6,0,0,0,0,0,14,0,0,2,0,0,0,7,0,0,0,85,0,9,7,0,0,0,0,6,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,64,1,0,1,0,0,0,0,0,0,0,0,20,9,0,3,0,0,0,0,0,9,0,0,4,0,0,0,12,0,0,0,77,0,5,10,0,0,0,0,6,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,14,5,0,3,0,0,0,0,0,1,0,1,0,0,0,0,22,0,0,0,69,0,5,0,0,0,0,0,3,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,11,0,0,0,0
0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,4,23,0,0,0,0,7,0,0,0,0
0,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,1,0,3,11,0,0,0,0,7,0,0,0,0
0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,26,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,3,0,0,23,0,0,0,0,8,0,0,0,0
